,segment_idx,excluded,n_rpeaks_noisy,n_RRI_detected,n_RRI_suprathresh,suprathresh_RRI_values,notes
87,87,False,1.0,359.0,3.0,[ 827.5 1672.5  832.5],
88,88,False,0.0,359.0,3.0,[822.5 337.5 487.5],
89,89,False,0.0,362.0,0.0,[],
90,90,False,3.0,375.0,7.0,[ 575.   915.   577.5  987.5  825.   407.5 1227.5],
91,91,False,5.0,385.0,13.0,"[ 607.5  960.   610.  1002.5  735.  1467.5  722.5  597.5  940.   462.5
  277.5  742.5 1175. ]",
92,92,False,1.0,396.0,3.0,[ 730.  1452.5  732.5],
93,93,False,0.0,368.0,0.0,[],
94,94,False,0.0,380.0,4.0,[767.5 380.  380.  740. ],
95,95,False,0.0,351.0,0.0,[],
96,96,False,0.0,344.0,0.0,[],
97,97,False,0.0,349.0,3.0,[465.  362.5 835. ],
98,98,False,0.0,367.0,3.0,[782.5 297.5 475. ],
99,99,False,1.0,382.0,3.0,[ 787.5 1575.   777.5],
100,100,False,0.0,387.0,4.0,[770.  395.  387.5 777.5],
101,101,False,0.0,380.0,5.0,[465.  305.  772.5 552.5 980. ],
102,102,False,0.0,376.0,1.0,[990.],
103,103,False,1.0,367.0,5.0,[795.  287.5 527.5 280.  940. ],
104,104,False,0.0,360.0,7.0,[ 805.  310.  510.  615. 1025.  555. 1075.],
105,105,False,0.0,367.0,4.0,[ 495.   267.5  762.5 1367.5],
106,106,False,3.0,381.0,10.0,[ 792.5 1575.   775.   492.5  272.5  785.   970.   532.5  535.  1022.5],
107,107,False,2.0,361.0,6.0,[ 742.5 1502.5  762.5  545.   267.5  817.5],
108,108,False,0.0,346.0,0.0,[],
109,109,False,1.0,362.0,4.0,[1022.5  460.  1002.5  980. ],
110,110,False,0.0,365.0,0.0,[],
111,111,False,0.0,368.0,0.0,[],
112,112,False,2.0,367.0,15.0,"[ 375.  1575.   770.   772.5  252.5  770.   375.   397.5  775.   555.
 1737.5  767.5  480.   352.5  835. ]",
113,113,False,0.0,373.0,11.0,"[ 767.5  347.5  420.   747.5  377.5  372.5  752.5  292.5  757.5 2032.5
  755. ]",
