,nni_counter,nni_mean,nni_min,nni_max,hr_mean,hr_min,hr_max,hr_std,nni_diff_mean,nni_diff_min,nni_diff_max,sdnn,sdnn_index,sdann,rmssd,sdsd,nn50,pnn50,nn20,pnn20,tri_index
39,399.0,747.6503759398496,712.5,780.0,80.26368401999285,76.92307692307692,84.21052631578948,0.9937094447733494,5.189535836043186,0.0,17.0,9.25704247518324,,,6.548663019941197,3.9992362784001134,0.0,0.0,0.0,0.0,2.7902097902097904
40,398.0,749.4409547738693,722.5,780.0,80.07385590358518,76.92307692307692,83.04498269896193,1.0667958138680902,5.5604534005037785,0.0,20.0,9.988262940432584,,,7.014064675675524,4.2807264553844195,0.0,0.0,0.0,0.0,2.8028169014084505
41,400.0,745.9625,633.6408481942453,775.0,80.47536707064882,77.41935483870968,94.69086497656909,1.8846951588676422,5.619419260578637,0.0,75.0,16.835910303712105,,,8.64054841509758,6.571867947460504,2.0,0.5012531328320802,7.0,1.7543859649122806,2.9411764705882355
42,390.0,765.3397435897435,730.0,803.734979704197,78.40957240151634,74.65147283011389,82.1917808219178,1.0115733443437576,6.587326373800499,0.0,37.0,9.875605855404078,,,8.26053077151724,4.990744384464258,0.0,0.0,2.0,0.5141388174807198,3.2231404958677685
43,394.0,757.6015228426396,560.0624971912475,802.5,79.27747021367634,74.76635514018692,107.13090110640185,2.6376619675582695,5.900426174024646,0.0,199.0,23.260114413933177,,,15.54305348134341,14.397880425966921,2.0,0.5089058524173028,3.0,0.7633587786259541,4.5813953488372094
44,383.0,778.3028720626631,732.5,802.5,77.11430799616474,74.76635514018692,81.91126279863481,1.3583241860620705,3.31151832460733,0.0,17.0,13.502653107605266,,,4.360250004840553,2.8402013344828627,0.0,0.0,0.0,0.0,4.031578947368421
45,374.0,797.5401069518718,618.895536758966,835.0,75.28632814064392,71.8562874251497,96.94689400122058,2.122733276479006,5.277983678168501,0.0,203.0,20.82991776715077,,,15.900263938779938,15.018855357311763,3.0,0.8042895442359249,6.0,1.6085790884718498,4.794871794871795
46,376.0,792.0146276595743,685.0,825.0,75.79711745953253,72.72727272727273,87.5912408759124,1.802034506328489,4.99283647691889,0.0,115.0,18.062925817908557,,,9.750770074560752,8.386695738058684,3.0,0.8,9.0,2.4,4.0
47,388.0,768.9239690721649,717.5,805.0,78.08942760179656,74.53416149068323,83.62369337979094,2.147118975201278,5.224589259051939,0.0,67.0,20.942579961431544,,,8.491219182930545,6.702279018661218,2.0,0.516795865633075,7.0,1.8087855297157622,6.689655172413793
48,377.0,791.1472148541114,747.5,885.4841861092607,75.8629111300815,67.75953872607788,80.2675585284281,1.3416151663131919,5.10867714612103,0.0,57.0,14.014069222443906,,,8.767808198182056,7.135214135487034,2.0,0.5319148936170213,10.0,2.6595744680851063,2.7720588235294117
49,373.0,798.7466487935657,760.0,836.9789641423849,75.13371923294567,71.68638946795912,78.94736842105263,1.1056155566806718,4.970323486169925,0.0,71.0,11.617462312946321,,,7.924254922926848,6.179997425789376,2.0,0.5376344086021506,7.0,1.881720430107527,2.7226277372262775
50,374.0,798.4291443850267,736.7705297561042,815.0,75.16071519363436,73.61963190184049,81.43648202088379,1.010491600144891,4.250450083044379,0.0,23.0,10.428309504147807,,,5.550589634337049,3.574489334485157,0.0,0.0,2.0,0.5361930294906166,2.1871345029239766
51,373.0,800.5160857908847,780.0,820.0,74.95807810508335,73.17073170731707,76.92307692307692,0.6964502564614051,3.803763440860215,0.0,15.0,7.411104623101446,,,4.928930394995417,3.138825097883263,0.0,0.0,0.0,0.0,2.7226277372262775
52,381.0,782.1719160104984,607.0142288657371,825.0,76.8118969604917,72.72727272727273,98.84447043706969,2.9018512319278282,6.502416349860833,0.0,124.0,27.794029562082493,,,14.470313976099783,12.944090848141155,5.0,1.3157894736842104,11.0,2.8947368421052633,5.219178082191781
53,387.0,772.1770025839793,718.7068389964189,812.5,77.74089187498751,73.84615384615384,83.48327404784715,1.7347251223941538,5.205285463386123,0.0,72.0,17.19123114859007,,,8.26672684315025,6.430466750919831,2.0,0.5181347150259068,6.0,1.5544041450777202,4.719512195121951
54,375.0,795.8,508.8962640858517,832.5,75.4766038037138,72.07207207207207,117.90222140416006,2.81088156994097,6.710974007475396,0.0,236.0,23.463741979176287,,,18.61776473991742,17.38943725233508,5.0,1.3368983957219251,9.0,2.406417112299465,4.87012987012987
55,361.0,826.3157894736842,777.5,850.0,72.6280747796787,70.58823529411765,77.17041800643086,1.1099307166485135,4.527777777777778,0.0,20.0,12.40379646183646,,,5.755432216610669,3.5580041282527444,0.0,0.0,0.0,0.0,3.8404255319148937
56,360.0,828.3541666666666,777.5,857.5,72.45488265359833,69.97084548104957,77.17041800643086,1.2788460189831687,5.786908077994429,0.0,22.0,14.357754279089702,,,7.157937721397017,4.218689617558052,0.0,0.0,1.0,0.2785515320334262,3.711340206185567
57,359.0,830.4108635097493,772.5,872.5,72.27957488039067,68.76790830945559,77.66990291262135,1.3852799607041306,7.039106145251397,0.0,25.0,15.747940153704876,,,8.423165715477232,4.632564225094564,0.0,0.0,2.0,0.5586592178770949,5.128571428571429
58,362.0,823.8950276243096,589.7290509525628,857.5,72.91235016078993,69.97084548104957,101.74163864419549,2.776835335878606,9.96780459129457,0.0,195.0,26.299204962236104,,,22.472422298788103,20.168774094662172,7.0,1.9390581717451523,16.0,4.43213296398892,4.958904109589041
59,367.0,814.1553133514988,728.8987575058709,871.586627080985,73.77061884612718,68.83997314293924,82.31595867347426,2.3704303508839315,10.11435138922764,0.0,120.0,25.716835489580355,,,16.52434854180733,13.085175194049913,7.0,1.912568306010929,33.0,9.01639344262295,5.919354838709677
60,384.0,776.26953125,715.0,817.5,77.3377840359544,73.39449541284404,83.91608391608392,1.8769930744930983,4.623602598818404,0.0,37.0,18.68753268420595,,,6.396903065813901,4.426491461412561,0.0,0.0,3.0,0.7832898172323759,5.333333333333333
61,376.0,793.530585106383,742.5,840.0,75.64433821420315,71.42857142857143,80.8080808080808,1.5872145249151621,5.984535290944612,0.0,35.0,16.493754982450813,,,7.969167858756738,5.269442009998584,0.0,0.0,5.0,1.3333333333333335,4.423529411764706
62,382.0,782.8141361256545,727.5,881.9273287944943,76.7262589816584,68.03281635689184,82.47422680412372,2.462112469757604,6.902615266941194,0.0,63.0,25.439382144777277,,,9.672495310792838,6.7846802882623996,1.0,0.26246719160104987,13.0,3.4120734908136483,6.366666666666666
63,375.0,794.1666666666666,735.0479416682792,855.1777597112232,75.60538431043709,70.16085172778678,81.62732877507666,2.0214632209875454,6.447767058872829,0.0,67.0,21.479405318798175,,,9.427668279948369,6.887238792421545,2.0,0.53475935828877,10.0,2.6737967914438503,5.514705882352941
64,377.0,790.2652519893899,712.2527048129705,860.0,76.07773188227321,69.76744186046511,84.23976433442303,3.409638255247508,7.635156414908133,0.0,112.0,35.78053461818403,,,11.921478288391524,9.167855102662363,2.0,0.5319148936170213,11.0,2.925531914893617,9.195121951219512
65,379.0,787.1108179419525,742.5,810.0,76.25076586440993,74.07407407407408,80.8080808080808,1.330544091579196,5.125661375661376,0.0,22.0,13.419744362214596,,,6.514889336649017,4.026695100712372,0.0,0.0,1.0,0.26455026455026454,3.2393162393162394
66,388.0,770.0,612.302875958354,815.0,78.02720061978215,73.61963190184049,97.99072053367412,2.9378047566247716,9.718201351975296,0.0,125.0,27.701590855065593,,,16.044058888300395,12.78243271018206,5.0,1.2919896640826873,40.0,10.335917312661499,6.0625
67,388.0,768.1572164948453,628.3634191182791,820.0,78.24282587382667,73.17073170731707,95.48614412371765,3.2944486459497435,8.088487389717164,0.0,112.0,31.32861202520803,,,12.396083003155127,9.405734668237189,3.0,0.7751937984496124,15.0,3.875968992248062,6.466666666666667
68,382.0,782.1858638743454,561.862092147996,862.9167392528595,76.83369772253971,69.53162138441061,106.78777023489927,3.3638061897463314,11.942341116178794,0.0,203.0,29.616766384051914,,,28.056328500311416,25.421137078528236,12.0,3.149606299212598,29.0,7.611548556430446,6.821428571428571
69,369.0,807.5067750677507,752.5,830.0,74.32111783195212,72.28915662650603,79.734219269103,1.1821016741768244,4.891304347826087,0.0,17.0,12.563018652751284,,,6.045569703797836,3.5578719468179005,0.0,0.0,0.0,0.0,2.8384615384615386
